date;forecast;actual;weather_combo
2026-02-13 18:00:00;3258.693511129499;3519.851;['temperature', 'wind_speed', 'precipitation']
2026-02-13 19:00:00;3238.66894716642;3490.8465;['temperature', 'wind_speed', 'precipitation']
2026-02-13 20:00:00;3262.48697034533;3538.6712499999994;['temperature', 'wind_speed', 'precipitation']
2026-02-13 21:00:00;3136.3946017811336;3449.1785;['temperature', 'wind_speed', 'precipitation']
2026-02-13 22:00:00;2772.9608675166005;2324.8065;['temperature', 'wind_speed', 'precipitation']
2026-02-13 23:00:00;2429.7160588675797;3431.5795;['temperature', 'wind_speed', 'precipitation']
2026-02-14 00:00:00;3079.3744851732326;2411.443;['temperature', 'wind_speed', 'precipitation']
2026-02-14 01:00:00;2474.6226963259896;2943.3845;['temperature', 'wind_speed', 'precipitation']
2026-02-14 02:00:00;2772.294182615373;2579.4275;['temperature', 'wind_speed', 'precipitation']
2026-02-14 03:00:00;2734.2127495515897;2204.52425;['temperature', 'wind_speed', 'precipitation']
2026-02-14 04:00:00;2513.4001917535593;2660.8965000000003;['temperature', 'wind_speed', 'precipitation']
2026-02-14 05:00:00;2558.480128613933;3597.15675;['temperature', 'wind_speed', 'precipitation']
2026-02-14 06:00:00;2584.2872038412393;2461.59075;['temperature', 'wind_speed', 'precipitation']
2026-02-14 07:00:00;2312.382718209572;2936.82475;['temperature', 'wind_speed', 'precipitation']
2026-02-14 08:00:00;2836.922567469812;2971.81825;['temperature', 'wind_speed', 'precipitation']
2026-02-14 09:00:00;2484.472375905409;2900.61125;['temperature', 'wind_speed', 'precipitation']
2026-02-14 10:00:00;2585.885551094776;2713.67975;['temperature', 'wind_speed', 'precipitation']
2026-02-14 11:00:00;3231.258322133127;2756.77525;['temperature', 'wind_speed', 'precipitation']
2026-02-14 12:00:00;2878.7993600166674;3727.64475;['temperature', 'wind_speed', 'precipitation']
2026-02-14 13:00:00;3161.925178262068;2757.3445;['temperature', 'wind_speed', 'precipitation']
2026-02-14 14:00:00;2553.6002175382196;3371.52475;['temperature', 'wind_speed', 'precipitation']
2026-02-14 15:00:00;2811.051102096537;3231.48225;['temperature', 'wind_speed', 'precipitation']
2026-02-14 16:00:00;2432.825097088208;4488.084;['temperature', 'wind_speed', 'precipitation']
2026-02-14 17:00:00;3484.6663897668277;5352.45;['temperature', 'wind_speed', 'precipitation']
2026-02-14 18:00:00;4550.331121001755;6210.828;['temperature', 'wind_speed', 'precipitation']
2026-02-14 19:00:00;3539.0444705654777;1903.77525;['temperature', 'wind_speed', 'precipitation']
2026-02-14 20:00:00;3590.9342522924826;2630.102;['temperature', 'wind_speed', 'precipitation']
2026-02-14 21:00:00;3254.7876389084313;4245.20475;['temperature', 'wind_speed', 'precipitation']
2026-02-14 22:00:00;2627.4632408622765;3723.198;['temperature', 'wind_speed', 'precipitation']
2026-02-14 23:00:00;2952.4211104665883;3729.623;['temperature', 'wind_speed', 'precipitation']
2026-02-15 00:00:00;3426.160266533904;3933.857;['temperature', 'wind_speed', 'precipitation']
2026-02-15 01:00:00;3262.6549697094224;3709.625;['temperature', 'wind_speed', 'precipitation']
2026-02-15 02:00:00;3458.1106683826256;3698.68875;['temperature', 'wind_speed', 'precipitation']
2026-02-15 03:00:00;3173.1514524105432;3668.341;['temperature', 'wind_speed', 'precipitation']
2026-02-15 04:00:00;3447.346258969419;3783.91125;['temperature', 'wind_speed', 'precipitation']
2026-02-15 05:00:00;3561.778683545818;3444.12875;['temperature', 'wind_speed', 'precipitation']
2026-02-15 06:00:00;3285.3555953600317;4090.44675;['temperature', 'wind_speed', 'precipitation']
2026-02-15 07:00:00;3343.537306208368;4660.0415;['temperature', 'wind_speed', 'precipitation']
2026-02-15 08:00:00;3774.12954107329;3879.998;['temperature', 'wind_speed', 'precipitation']
2026-02-15 09:00:00;3857.3692985017615;4359.39175;['temperature', 'wind_speed', 'precipitation']
2026-02-15 10:00:00;3719.956734892298;5136.501;['temperature', 'wind_speed', 'precipitation']
2026-02-15 11:00:00;3840.5493590793676;4608.921;['temperature', 'wind_speed', 'precipitation']
2026-02-15 12:00:00;3675.307495834775;3958.311;['temperature', 'wind_speed', 'precipitation']
2026-02-15 13:00:00;3608.1307503636117;2757.3445;['temperature', 'wind_speed', 'precipitation']
2026-02-15 14:00:00;3770.8972134374535;3371.52475;['temperature', 'wind_speed', 'precipitation']
2026-02-15 15:00:00;3918.123877620633;3231.48225;['temperature', 'wind_speed', 'precipitation']
2026-02-15 16:00:00;3789.5780519449872;5022.667;['temperature', 'wind_speed', 'precipitation']
2026-02-15 17:00:00;4781.184022285411;3789.986;['temperature', 'wind_speed', 'precipitation']
2026-02-15 18:00:00;5555.4493984821;1972.2715;['temperature', 'wind_speed', 'precipitation']
2026-02-15 19:00:00;3788.7679903970984;1211.72575;['temperature', 'wind_speed', 'precipitation']
2026-02-15 20:00:00;3908.2265731795846;2768.893;['temperature', 'wind_speed', 'precipitation']
